FID,depno,distrito_minero,nombres,modelo,cod_modelo,tamaño,edad_inf_min,edad_sup_min,estilo_min,asoc_min,alt_hidrotermal,unid_estrati_caja,lito_caja,edad_inf_caja,edad_sup_caja,recursos_min,ley_min,commodity,ficha,etiqueta,geometry
e250K.DepositMetalif.19566,11145,,Cerro Diamante-Los Dos Amigos,07k Fluorita,7k,pequeño,,,vetas,fluorita,,Grupo Cerro Carrizalito,rocas volcánicas intermedias,,,"2610 tonelada métrica, mineral, reserva probable+posible",,fluorita,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp11145.html,Cerro Diamante,POINT (-69.00029999999992 -34.564799999999934)
e250K.DepositMetalif.17232,2105,,"Pedrito, Popola, Pochita",07a Manganeso (Mn+-F),7a,ocurrencia,,,vetiforme,psilomelano | hematita | baritina | calcita | ópalo | cuarzo | fluorita,,Formación Ojo de Agua,granodiorita,,,,,Mn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp2105.html,Pedrito,POINT (-64.09249999999992 -29.706699999999955)
e250K.DepositMetalif.17225,2098,Grupo Aguada del Monte,"25 de mayo, San Vicente",07a Manganeso (Mn+-F),7a,pequeño,,,vetiforme,criptomelano | hematita | limonita | calcita | calcedonia | ópalo,,Formación Ojo de Agua,granodiorita,,,"38500 tonelada métrica, mineral, reserva probable",Fe 28.81 % (máximo) | Mn 25.31 % (máximo),Fe-Mn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp2098.html,25 de mayo,POINT (-64.08469999999994 -29.58779999999996)
e250K.DepositMetalif.19737,11327,,Río Quequén Salado,"09f Evaporitas Lacustres,Yeso-Halita-Silvita-Boratos-Sulfatos(MgKCaLi)",9f,pequeño,Pleistoceno,Holoceno,Cuerpos,yeso,,,limolita-loess,,,,,yeso,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp11327.html,Río Quequén Salado,POINT (-60.587399999999946 -38.67739999999992)
e250K.DepositMetalif.17403,41,El Aguilar,Tapada,08d SEDEX(Zn-Pb-Ba-Ag),8d,,,,estratiforme,galena | esfalerita,,Formación Cardonal,arenisca | cuarcita | lutita,,,,,Zn | Pb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp41.html,Tapada,POINT (-65.7247999999999 -23.23419999999993)
e250K.DepositMetalif.18519,5052,El Araucano-La Higuera,La Higuera,08f Volcanogénico (W),8f,ocurrencia,,,diseminada,scheelita,,Formación San Luis | Formación San Luis | Formación San Luis,filitas | metavolcanitas | esquistos cuarzo-espesartíticos,,,,,W,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp5052.html,La Higuera,POINT (-65.94999999999993 -32.966699999999946)
e250K.DepositMetalif.18512,5035,Pancanta,San Manuel,06a Granitoides (W-Mo),6a,pequeño,,,vetiforme,scheelita | wolframita,moscovitización,Grupo Micaesquistos | Granito La Escalerilla,"micaesquistos, filitas | granito",,,,,W,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp5035.html,San Manuel,POINT (-66.14999999999992 -32.93329999999992)
e250K.DepositMetalif.21202,24800,Orosmayo,Civita Vecchia,12b Sn,12b,ocurrencia,Plioceno,Holoceno,placeres aluviales y eluviales,casiterita,,,arena-grava,,,,,Sn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp24800.html,Civita Vecchia,POINT (-66.3547999999999 -22.599899999999934)
e250K.DepositMetalif.19573,11153,Cabalango,La Nueva,07k Fluorita,7k,mediano,,,vetas  ,fluorita,,Granito de Achala,suite granítica,,,"150000 tonelada métrica, mineral, reservas geológicas",fluorita 72 %,fluorita,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp11153.html,La Nueva,POINT (-64.58679999999993 -31.426099999999906)
e250K.DepositMetalif.18443,5058,La Florida,"La Florida, La Bruja, otras (grupo La Florida)",08f Volcanogénico (W),8f,ocurrencia,,,diseminada,scheelita | wolframita | pirita,turmalinización | silicificación,Formación San Luis | Formación San Luis | Formación San Luis | Formación San Luis,filitas | esquistos biotíticos | cuarcitas | metavolcanitas,,,"10000 tonelada métrica, mineral, reserva probable",WO3 0.7 %,W,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp5058.html,La Florida,POINT (-65.96669999999995 -33.11669999999992)
e250K.DepositMetalif.17738,383,Cerro Blanco-Marayes,Huinca,05c Skarn plumbo-cincífero (Zn-Pb_Ag),5c,,Pérmico,Triásico,cuerpo,galena | pirita | calcosina | óxidos de manganeso | limonitas,,,,,,,,Pb | Ag | Zn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp383.html,Huinca,POINT (-67.34529999999995 -31.416699999999935)
e250K.DepositMetalif.20955,24549,,Tecka,01c Ni-Cu asociados a tholeitas (Ni-Cu-PGE±Cr)),1c,desconocida,,,diseminada,oro nativo | pentlandita | valeriita | calcopirita | pirrotina | espinelo | ilmenita | titanomagnetita | magnetita,,Formación Cresta de los Bosques,suite anortosítica-gábrica,,,,,Pt | Au | Ni | Cu | Cr,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp24549.html,Tecka,POINT (-70.62609999999995 -43.708099999999945)
e250K.DepositMetalif.17916,564,,Glaciar Sobral,06d Granitoides (Cu),6d,,,,vetifome,galena | molibdenita | pirita,,Tonalita Sobral,suite granítica,,,,,Pb | Mo,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp564.html,Glaciar Sobral,POINT (-72.41669999999993 -47.78329999999994)
e250K.DepositMetalif.21133,24731,,Sin Nombre,12a Au,12a,pequeño,,,placeres aluviales,oro,,,arena-grava,,,,,Au,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp24731.html,Sin Nombre,POINT (-65.01989999999995 -22.103899999999953)
e250K.DepositMetalif.18094,3298,,Río de las Vacas,04b Cu (±Mo±Au),4b,desconocida,,,diseminada | venillas,calcopirita | bornita | pirita | tetraedrita | galena | magnetita | covellina | malaquita,potásica | cuarzo-sericítica | propilítica,Compleojo Eruptivo Eoandínico,,,,,,Cu,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3298.html,Río de las Vacas,POINT (-69.98329999999993 -32.56669999999991)
e250K.DepositMetalif.18087,3144,Santa Rosa,"San Juan, Santa Rosa, Malaquita",07e Polimetálico complejo (Pb-Ag-Zn-Cu (±Au±Sb±Bi±W),7e,desconocida,,,vetas,pirita | calcopirita | esfalerita | pirrotina | covellina | hematita | malaquita | azurita,propilítica | sericítica | argílica | biotítica,Formación Negro Peinado,,,,,,Cu,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3144.html,San Juan,POINT (-67.65499999999992 -28.928899999999942)
e250K.DepositMetalif.18265,3336,Taquimilán Centro,Naunauco,07e Polimetálico complejo (Pb-Ag-Zn-Cu (±Au±Sb±Bi±W),7e,desconocida,,,vetas,calcopirita | calcosina | malaquita | azurita | bornita | covellina,,Subgrupo Rayoso (Grupo Bajada del Agrio) | Formación Colipilli,,,,,,Cu,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3336.html,Naunauco,POINT (-70.27499999999992 -37.56669999999991)
e250K.DepositMetalif.18101,3176,Guachi,"Guachi Oeste (Santa Filomena,Dolores)",04c Cu-Au,4c,desconocida,Mioceno,Mioceno,vetas asociadas a pórfido,calcopirita | pirita | galena | oro | malaquita | azurita,silicificación | propilítica,Formación Cerro Morado,rocas volcánicas intermedias,,,,Cu 6.16 % media | Ag 48.4 g/t | Au 14.9 g/t (máximo),Cu | Au,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3176.html,Guachi Oeste ,POINT (-68.86109999999991 -29.919999999999902)
e250K.DepositMetalif.17396,36,,3 de marzo | 5 de mayo | 2 de noviembre | 7 de febrero,14c Polimetálicos simples (Pb-Zn-Ag (+-Au-Ba)),14c,,,,filoneana,galena argentífera | esfalerita,,,arenisca,,,,,Pb | Zn,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp36.html,3 de marzo ,POINT (-65.21049999999991 -23.906999999999925)
e250K.DepositMetalif.17574,216,Umango,Helios,14c Polimetálicos simples (Pb-Zn-Ag (+-Au-Ba)),14c,,,,vetiforme,galena,,Formación Espinal,esquisto,,,,,Pb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp216.html,Helios,POINT (-68.39749999999992 -28.913299999999936)
e250K.DepositMetalif.17752,397,,El Cacique,14c Polimetálicos simples (Pb-Zn-Ag (+-Au-Ba)),14c,,,,vetillas,galena | limonitas | pirita,,Formación Cerro de Las Yeguas,rocas volcánicas félsicas-intermedias,,,,,Pb,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp397.html,El Cacique,POINT (-68.90109999999993 -34.605599999999924)
e250K.DepositMetalif.19559,11123,Alcaparrosa,Santa Elena,08b VMS Máfico Siliciclástico (tipo Beshi),8b,pequeño,,,vetas,oro | galena | esfalerita | pirrotina | marcasita | pirita | calcopirita | cuarzo | arsenopirita | calcosina | covelina | ankerita | hematita | neodigenita | natroalunita | jarosita | goethita | escorodita | kieserita | hexaedrita | copiapita | calingasti,propilítica | pirítica | carbonática | sericítica/,Formación Alcaparrosa | Basalto Santa Elena,limolita | rocas volcánicas máficas-félsicas mezcladas,,,"43500 tonelada métrica, mineral, reserva probable-positiva",Pb 1.84 % | Zn 2.51 % | Cu 0.08 % | Ag 83 g/t | Au 4.51 g/t,Pb | Zn | Ag | Au,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp11123.html,Santa Elena,POINT (-69.40289999999993 -31.28239999999994)
e250K.DepositMetalif.18272,3374,Lago Futalaufquen,Libertador General San Martín,07e Polimetálico complejo (Pb-Ag-Zn-Cu (±Au±Sb±Bi±W),7e,desconocida,Jurásico,Terciario,vetas,galena | esfalerita | calcopirita | malaquita | azurita,silicificación | sericítica,Formación Lago La Plata | Grupo Divisadero,rocas volcánicas intermedias | rocas volcánicas intermedias,,,,,Pb | Zn | Cu,https://sigam.segemar.gov.ar/segedoc/res/img/sigam_yacimientos/dp3374.html,Libertador General San Martín,POINT (-71.56669999999991 -43.11669999999992)
